external_id,name,type,company_id
getenergy.product_144,Alberton - Shell - AlrodeCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_148,Bethlehem - EngenCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_147,Bloemfontein - Engen - HamiltonCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_186,Cedarville - WBG DepotCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_188,Cliffdale - WBG DepotCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_635,CPT - BP - MontagueCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_157,CPT - Engen - MontagueCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_176,CPT - Shell - KillarneyCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_187,Creighton - WBG Depot - KZNCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_570,DBN - BP - Island ViewCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_159,DBN - Chemicals  (IVD)Collection,service,Get Energy Today (Pty) Ltd
getenergy.product_158,DBN - Engen - WentworthCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_175,DBN - Shell - Island ViewCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_160,East London - Engen TerminalCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_181,Ermelo - WBG DepotCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_145,Klerksdorp - BP Collection,service,Get Energy Today (Pty) Ltd
getenergy.product_638,Klerksdorp - EngenCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_146,Kroonstad - Engen Collection,service,Get Energy Today (Pty) Ltd
getenergy.product_149,Krugersdorp - Puma - TarltonCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_165,Ladysmith - EngenCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_143,Langlaagte - PumaCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_156,Makhado - EngenCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_831,Matola - Puma - MozambiqueCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_155,Mokopane - EngenCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_162,Mossel Bay - Petro SACollection,service,Get Energy Today (Pty) Ltd
getenergy.product_152,Nelspruit - Shell - WolfaardtCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_161,PE - NRWS - Dom Pedro TerminalCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_189,Port Shepstone - WBG Depot - MarburgCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_177,Pretoria - BP - WaltlooCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_150,Pretoria - Engen - WaltlooCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_164,Richards Bay - PumaCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_153,Rustenburg - ENGENCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_154,Secunda - Sasol - Unitrans ControlCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_163,Upington - EngenCollection,service,Get Energy Today (Pty) Ltd
getenergy.product_151,Witbank - EngenCollection,service,Get Energy Today (Pty) Ltd
