external_id,name,city,address1,partner_latitude,partner_longitude,parent_id,type,company_id
getenergy.partner_144,Alberton - Shell - Alrode,Alberton,"40 Hibiscus Avenue, Allrode, Alberton",-26.294065, 28.12507,getenergy.parent_7,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_148,Bethlehem - Engen,Bethlehem,Cnr Muller & Baxter street Bethlehem,-28.232963, 28.300011,getenergy.parent_4,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_147,Bloemfontein - Engen - Hamilton,Bloemfontein,"292 Church Street Bloemfontein, Engen Hamilton Depot",-29.158927, 26.21972,getenergy.parent_4,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_186,Cedarville - WBG Depot,Cedarville,"335A Martins Road, Cedarville, Eastern Cape",-30.387575, 29.041,getenergy.parent_10,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_188,Cliffdale - WBG Depot,Cliffdale (Elangeni),"Sterkspruit Road, Cliffdale, Elangeni, Outer West Durban",-29.77838, 30.679656,getenergy.parent_10,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_635,CPT - BP - Montague,Cape Town,"20 Esso Road Montaque Gardens, Cape Town",-33.855101, 18.52467,getenergy.parent_1,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_157,CPT - Engen - Montague,Milnerton,"24 Esso Road, Montaque Gardens, Cape Town",-33.853108, 18.526524,getenergy.parent_4,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_176,CPT - Shell - Killarney,Cape Town,"20 Esso Road Montaque Gardens, Cape Town",-33.855101, 18.52467,getenergy.parent_7,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_187,Creighton - WBG Depot - KZN,Creighton,"Main Road Creighton, KZN",-30.0304167, 29.834055,getenergy.parent_10,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_570,DBN - BP - Island View,Durban,"38 Hokkaido Rd, Island View, Bluff, Durban",-29.890252, 31.037944,getenergy.parent_1,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_159,DBN - Chemicals  (IVD),Durban,"1 Luzon Road, Island View, Bluff, 4052",-29.889848, 31.037719,getenergy.parent_10,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_158,DBN - Engen - Wentworth,Durban,"465 Tara Road, Durban",-29.943661, 30.985449,getenergy.parent_4,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_175,DBN - Shell - Island View,Durban,"38 Hokkaido Rd, Island View, Durban",-29.853581, 30.934829,getenergy.parent_7,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_160,East London - Engen Terminal,East London,"Jonker Crescent, East London, 5201",-33.032091, 27.89931,getenergy.parent_4,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_181,Ermelo - WBG Depot,Ermelo,"Saratoga Road, Nederland Park, Ermelo, Mpumalanga",-26.539666, 30.001472,getenergy.parent_10,delivery,Get Energy Today (Pty) Ltd
getenergy.partner_145,Klerksdorp - BP ,Klerksdorp,"6 Mahogany Avenue, Klerksdorp",-26.89351, 26.665334,getenergy.parent_1,delivery,Get Energy Today (Pty) Ltd
