sequence,name,company_id
10,Malmesbury,InteliGro
20,Porterville,InteliGro
30,Citrusdal,InteliGro
40,Moorreesburg,InteliGro
50,Piketberg,InteliGro
60,Hopefield,InteliGro
70,Durbanville,InteliGro
80,Clanwilliam,InteliGro
90,Trawal,InteliGro
100,Kanoneiland/Upington,InteliGro
110,Benede Oranje-Rivier,InteliGro
120,Namibia,InteliGro
130,Noordoewer/Viljoensdrif,InteliGro
140,Kakamas,InteliGro
150,Stellenbosch,InteliGro
160,Wellington/Riebeek,InteliGro
170,Philippi,InteliGro
180,De Doorns,InteliGro
190,Kogmanskloof,InteliGro
200,Rawsonville,InteliGro
210,Stellenbosch/CN/CJ,InteliGro
220,Wolseley,InteliGro
230,Franschhoek,InteliGro
240,Bonnievale,InteliGro
250,Ceres,InteliGro
260,Vyeboom,InteliGro
270,Worcester,InteliGro
280,Caledon,InteliGro
290,Riviersonderend,InteliGro
300,Bredasdorp,InteliGro
310,Oudtshoorn,InteliGro
320,George,InteliGro
330,Riversdal,InteliGro
340,Swellendam,InteliGro
350,Heidelberg,InteliGro
360,Oos-Londen,InteliGro
370,Kirkwood,InteliGro
380,Patensie,InteliGro
390,Langkloof,InteliGro
400,Greylingstad,InteliGro
410,Clocolan,InteliGro
420,Bethlehem,InteliGro
430,Parys,InteliGro
440,Edenville,InteliGro
450,Harrismith,InteliGro
460,Standerton,InteliGro
470,Ermelo,InteliGro
480,Morgenzon,InteliGro
490,Senekal,InteliGro
500,Marquard,InteliGro
510,Vrede,InteliGro
520,Reitz,InteliGro
530,Frankfort,InteliGro
540,Bloemfontein,InteliGro
550,Bothaville,InteliGro
560,Hopetown,InteliGro
570,Koster,InteliGro
580,Potchefstroom,InteliGro
590,Jacobsdal,InteliGro
600,Viljoenskroon,InteliGro
610,Hoopstad,InteliGro
620,Welkom/Hennenman,InteliGro
630,Lichtenburg,InteliGro
640,Sannieshof,InteliGro
650,Ottosdal,InteliGro
660,Brits,InteliGro
670,Polokwane,InteliGro
680,Tarlton,InteliGro
690,Naboomspruit,InteliGro
700,Groblersdal,InteliGro
710,Lydenburg,InteliGro
720,Groblersdal distrikte,InteliGro
730,Tzaneen,InteliGro
740,Bela-Bela (Warmbad),InteliGro
750,Hoedspruit,InteliGro
760,Nelspruit,InteliGro
770,Alverstone,InteliGro
780,Vryheid,InteliGro
790,KZN Midlands,InteliGro
800,Empangeni,InteliGro
